IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.245.187,2087,2087,true,SIN,Asia Pacific,Singapore,74,10.63
8.219.210.64,2053,2053,true,SIN,Asia Pacific,Singapore,119,10.63
8.210.39.96,2096,2096,true,HKG,Asia Pacific,Hong Kong,34,10.63
8.222.208.83,2052,2052,false,SIN,Asia Pacific,Singapore,46,10.62
8.219.198.34,80,80,false,SIN,Asia Pacific,Singapore,10,10.62
8.219.209.14,2053,2053,true,SIN,Asia Pacific,Singapore,77,10.62
8.222.221.90,2083,2083,true,SIN,Asia Pacific,Singapore,70,10.61
8.222.249.98,2083,2083,true,SIN,Asia Pacific,Singapore,39,10.61
8.222.253.235,2052,2052,false,SIN,Asia Pacific,Singapore,3,10.61
8.219.73.21,2087,2087,true,SIN,Asia Pacific,Singapore,89,10.61
8.219.11.158,2086,2086,false,SIN,Asia Pacific,Singapore,4,10.61
8.219.241.189,2095,2095,false,SIN,Asia Pacific,Singapore,30,10.60
8.222.222.64,2052,2052,false,SIN,Asia Pacific,Singapore,4,10.60
8.219.194.170,8443,8443,true,SIN,Asia Pacific,Singapore,102,10.60
8.218.146.204,443,443,true,HKG,Asia Pacific,Hong Kong,68,10.60
8.222.210.182,8443,8443,true,SIN,Asia Pacific,Singapore,58,10.60
8.219.201.8,2087,2087,true,SIN,Asia Pacific,Singapore,84,10.59
8.219.74.35,8443,8443,true,SIN,Asia Pacific,Singapore,119,10.59
47.236.164.215,2087,2087,true,SIN,Asia Pacific,Singapore,47,10.59
8.219.110.88,8880,8880,false,SIN,Asia Pacific,Singapore,9,10.58
8.222.193.208,2053,2053,true,SIN,Asia Pacific,Singapore,66,10.58
8.222.214.231,80,80,false,SIN,Asia Pacific,Singapore,6,10.57
8.219.197.111,8880,8880,false,SIN,Asia Pacific,Singapore,19,10.57
8.219.141.174,8880,8880,false,SIN,Asia Pacific,Singapore,23,10.56
8.219.199.220,8443,8443,true,SIN,Asia Pacific,Singapore,105,10.56
8.219.126.3,2053,2053,true,SIN,Asia Pacific,Singapore,76,10.56
8.219.238.145,8443,8443,true,SIN,Asia Pacific,Singapore,74,10.56
47.236.158.158,2087,2087,true,SIN,Asia Pacific,Singapore,102,10.55
47.236.116.182,2082,2082,false,SIN,Asia Pacific,Singapore,13,10.55
8.217.250.222,8880,8880,false,HKG,Asia Pacific,Hong Kong,38,10.55
8.219.84.214,2086,2086,false,SIN,Asia Pacific,Singapore,16,10.55
47.245.115.6,80,80,false,SIN,Asia Pacific,Singapore,36,10.54
47.236.166.131,2053,2053,true,SIN,Asia Pacific,Singapore,100,10.54
